temperature,avg_accuracy,accuracy_variance,stability_score,disagreement_rate,avg_unique_outputs,binary_accuracy,binary_variance,entity_accuracy,entity_variance,numerical_temporal_accuracy,numerical_temporal_variance
0,0.365248227,2.51E-05,0.010638298,0.989361702,2.971631206,0.528368794,0.000100599,0.209219858,0.000176047,0.358156028,0.000100599
0.5,0.365248227,3.35E-05,0.003546099,0.996453901,2.978723404,0.492907801,0.000402394,0.241134752,0.000100599,0.361702128,0.000301796
1,0.379432624,0.000226347,0.010638298,0.989361702,2.971631206,0.539007092,0.000628741,0.212765957,0.000301796,0.386524823,0.000100599
2,0.356973995,2.79E-06,0.003546099,0.996453901,2.978723404,0.482269504,0.000176047,0.230496454,0.000176047,0.358156028,0.000326945
